0 truite(s) brune(s), 0 brochet(s), 1 doré(s)
0 truite(s) brune(s), 0 brochet(s), 2 doré(s)
0 truite(s) brune(s), 0 brochet(s), 3 doré(s)
0 truite(s) brune(s), 0 brochet(s), 4 doré(s)
0 truite(s) brune(s), 0 brochet(s), 5 doré(s)
0 truite(s) brune(s), 0 brochet(s), 6 doré(s)
0 truite(s) brune(s), 1 brochet(s), 0 doré(s)
0 truite(s) brune(s), 1 brochet(s), 1 doré(s)
0 truite(s) brune(s), 1 brochet(s), 2 doré(s)
0 truite(s) brune(s), 1 brochet(s), 3 doré(s)
0 truite(s) brune(s), 1 brochet(s), 4 doré(s)
0 truite(s) brune(s), 1 brochet(s), 5 doré(s)
0 truite(s) brune(s), 2 brochet(s), 0 doré(s)
0 truite(s) brune(s), 2 brochet(s), 1 doré(s)
0 truite(s) brune(s), 2 brochet(s), 2 doré(s)
0 truite(s) brune(s), 2 brochet(s), 3 doré(s)
0 truite(s) brune(s), 2 brochet(s), 4 doré(s)
0 truite(s) brune(s), 3 brochet(s), 0 doré(s)
0 truite(s) brune(s), 3 brochet(s), 1 doré(s)
0 truite(s) brune(s), 3 brochet(s), 2 doré(s)
0 truite(s) brune(s), 3 brochet(s), 3 doré(s)
0 truite(s) brune(s), 4 brochet(s), 0 doré(s)
0 truite(s) brune(s), 4 brochet(s), 1 doré(s)
0 truite(s) brune(s), 4 brochet(s), 2 doré(s)
0 truite(s) brune(s), 5 brochet(s), 0 doré(s)
0 truite(s) brune(s), 5 brochet(s), 1 doré(s)
0 truite(s) brune(s), 6 brochet(s), 0 doré(s)
1 truite(s) brune(s), 0 brochet(s), 0 doré(s)
1 truite(s) brune(s), 0 brochet(s), 1 doré(s)
1 truite(s) brune(s), 0 brochet(s), 2 doré(s)
1 truite(s) brune(s), 0 brochet(s), 3 doré(s)
1 truite(s) brune(s), 0 brochet(s), 4 doré(s)
1 truite(s) brune(s), 0 brochet(s), 5 doré(s)
1 truite(s) brune(s), 1 brochet(s), 0 doré(s)
1 truite(s) brune(s), 1 brochet(s), 1 doré(s)
1 truite(s) brune(s), 1 brochet(s), 2 doré(s)
1 truite(s) brune(s), 1 brochet(s), 3 doré(s)
1 truite(s) brune(s), 1 brochet(s), 4 doré(s)
1 truite(s) brune(s), 2 brochet(s), 0 doré(s)
1 truite(s) brune(s), 2 brochet(s), 1 doré(s)
1 truite(s) brune(s), 2 brochet(s), 2 doré(s)
1 truite(s) brune(s), 2 brochet(s), 3 doré(s)
1 truite(s) brune(s), 3 brochet(s), 0 doré(s)
1 truite(s) brune(s), 3 brochet(s), 1 doré(s)
1 truite(s) brune(s), 3 brochet(s), 2 doré(s)
1 truite(s) brune(s), 4 brochet(s), 0 doré(s)
1 truite(s) brune(s), 4 brochet(s), 1 doré(s)
1 truite(s) brune(s), 5 brochet(s), 0 doré(s)
2 truite(s) brune(s), 0 brochet(s), 0 doré(s)
2 truite(s) brune(s), 0 brochet(s), 1 doré(s)
2 truite(s) brune(s), 0 brochet(s), 2 doré(s)
2 truite(s) brune(s), 0 brochet(s), 3 doré(s)
2 truite(s) brune(s), 0 brochet(s), 4 doré(s)
2 truite(s) brune(s), 1 brochet(s), 0 doré(s)
2 truite(s) brune(s), 1 brochet(s), 1 doré(s)
2 truite(s) brune(s), 1 brochet(s), 2 doré(s)
2 truite(s) brune(s), 1 brochet(s), 3 doré(s)
2 truite(s) brune(s), 2 brochet(s), 0 doré(s)
2 truite(s) brune(s), 2 brochet(s), 1 doré(s)
2 truite(s) brune(s), 2 brochet(s), 2 doré(s)
2 truite(s) brune(s), 3 brochet(s), 0 doré(s)
2 truite(s) brune(s), 3 brochet(s), 1 doré(s)
2 truite(s) brune(s), 4 brochet(s), 0 doré(s)
3 truite(s) brune(s), 0 brochet(s), 0 doré(s)
3 truite(s) brune(s), 0 brochet(s), 1 doré(s)
3 truite(s) brune(s), 0 brochet(s), 2 doré(s)
3 truite(s) brune(s), 0 brochet(s), 3 doré(s)
3 truite(s) brune(s), 1 brochet(s), 0 doré(s)
3 truite(s) brune(s), 1 brochet(s), 1 doré(s)
3 truite(s) brune(s), 1 brochet(s), 2 doré(s)
3 truite(s) brune(s), 2 brochet(s), 0 doré(s)
3 truite(s) brune(s), 2 brochet(s), 1 doré(s)
3 truite(s) brune(s), 3 brochet(s), 0 doré(s)
4 truite(s) brune(s), 0 brochet(s), 0 doré(s)
4 truite(s) brune(s), 0 brochet(s), 1 doré(s)
4 truite(s) brune(s), 0 brochet(s), 2 doré(s)
4 truite(s) brune(s), 1 brochet(s), 0 doré(s)
4 truite(s) brune(s), 1 brochet(s), 1 doré(s)
4 truite(s) brune(s), 2 brochet(s), 0 doré(s)
5 truite(s) brune(s), 0 brochet(s), 0 doré(s)
5 truite(s) brune(s), 0 brochet(s), 1 doré(s)
5 truite(s) brune(s), 1 brochet(s), 0 doré(s)
6 truite(s) brune(s), 0 brochet(s), 0 doré(s)
Nombre de façon d'attraper des poissons: 83
